Nom;Ingredient 1;Ingredient 2;Ingredient 3;Type;Lien
Salade de tomates et mozarella;Tomate;;;Entree;https://123veggie.fr/recette/salade-tomate-mozza-vegetale/
Rubans de kiwi qui piquent;Kiwi;Banane;Citron;Dessert;https://123veggie.fr/recette/rubans-kiwi-piquants/
Carbonara au fenouil snacke;Fenouil;Oignon;;Plat;https://123veggie.fr/recette/carbonara-fenouil-snacke/
Salade de haricots et pomme de terre;Haricot vert;Oignon;;Entree;https://123veggie.fr/recette/salade-haricotsdemer-pdt/
Burritos veganes;Poivron;Mais;;Plat;https://123veggie.fr/recette/burritos-veganes/
Conchiglionis farcis;Tomate;;;Plat;https://123veggie.fr/recette/conchiglionis-farcis/
Tatin aux aubergines et pignons;Aubergine;Tomate;;Entree;https://123veggie.fr/recette/salade-pasteque-2/
Salade estivale pasteque et feta;Pasteque;;;Entree;https://123veggie.fr/recette/salade-pasteque-2/
Tomates farcies;Tomate;Ail;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1997-tomates-farcies-et-riz-complet
Poivrons farcis;Poivron;Ail;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1997-tomates-farcies-et-riz-complet
Tarte fine aux figues;Figue;Pomme;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1926-tarte-fine-aux-figues
Artichauts citron et huile d'olive;Artichaut;Citron;Echalotte;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/2408-artichauts-sauce-citron-huile-dolive
Salade de pates aux courgettes-chevre-menthe;Courgette;Citron;;Entree;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/2854-salade-de-pates-aux-courgettes-chevre-menthe-et-dinde
Courgettes farcies au quinoa;Courgette;Tomate;Oignon;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/418-courgettes-farcies-au-quinoa
Endives sauce bechamel;Endive;;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/556-endives-sauce-bechamel
Tajine de poulet aux carottes;Carotte;Tomate;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/2859-tajine-de-poulet-aux-carottes-fondantes-et-pruneaux-semoule
Fondue d'endives aux lardons;Endive;Echalote;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/667-fondue-dendives-aux-lardons-et-quinoa
Gateau d'aubergines et salade;Aubergine;Salade;;Entree;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/751-gateau-daubergines-et-salade
Bananes a l'orange;Banane;Orange;Raisin;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/37-bananes-a-lorange
Pommes rapees aux raisins secs;Pomme;Citron;Raisin;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1255-pommes-rapees-aux-raisins-secs
Tarte au potiron et amandes;Potiron;;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1889-tarte-au-potiron-et-amandes
Tarte aux abricots;Abricot;;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1893-tarte-aux-abricots-et-a-la-noix-de-coco
Madeleines au citron;Citron;;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/924-madeleines-au-citron
Compotee pommes-fruits seches;Pomme  ;Pruneau;Abricot;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/355-compotee-pommes-fruits-seches
Poires caramelisees et fruits;Poire;Citron;Framboise;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1217-poires-caramelisees-aux-fruits-rouges
Cake au citron et aux myrtilles;Citron;Myrtille;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/184-cake-au-citron-et-aux-myrtilles
Compote de pommes et granola;Pomme;;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/2609-compote-de-pommes-et-granola-minute
Salade mangue ananas;Mangue;Ananas;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/2733-salade-mangue-ananas
Crumble poires-chocolat;Poire;;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/486-crumble-poires-chocolat
Crumble aux pommes;Pomme;;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/488-crumble-pommes-pruneaux
Compote aux prunes;Prune ;;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/345-compote-aux-prunes
Compote pommes-rhubarbe;Pomme;Rhubarbe;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/352-compote-pommes-rhubarbe
Tarte aux myrtilles;Myrtille;;;Dessert;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1909-tarte-aux-myrtilles
Gratin de brocolis;Brocoli;;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/2753-gratin-de-brocolis
Caponata sicilienne;Aubergine;Tomate;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/220-caponata-sicilienne
Tartines au fromage de chevre, tomates sechees, salade;Tomate;Salade;;Entree;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1948-tartines-au-fromage-de-chevre-et-tomates-sechees-salade
Tarte mozzarella epinards salade;Epinard;Salade;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1930-tarte-mozzarella-et-epinards-salade
Tagliatelles saumon et brocolis;Brocoli;;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1825-tagliatelles-au-saumon-et-aux-brocolis
Frittata aux poivrons et salade;Poivron;Salade;Oignon;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/676-frittata-aux-poivrons-et-salade
Risotto potiron-noisette;Potiron;;;Plat;https://www.mangerbouger.fr/manger-mieux/la-fabrique-a-menus/recettes/1377-risotto-potiron-noisette
